,Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,Unnamed: 28
0,Albert Ménès Boneless Sardines in Organic Extra Virgin Olive Oil,15.5,Olive Oil,Sardines,,France,Albert Ménès,Yes,No,,Yes,No,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,,,,,
1,"Albert Ménès Vintage Whole Anchovies, 2018",19,Olive Oil,Anchovy,,France,Albert Ménès,Yes,No,,No,No,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,,,,,
2,Alkorta Cod Fillets in Olive Oil,19,Olive Oil,Cod,Gadus morhua,Spain,Alkorta,Yes,No,,Yes,Yes,Unstated,200,7.0,No,No,No,No,No,No,No,No,No,,3,370,15,
3,Alshark Moroccan Sardines in Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,,No,No,Unstated,120,4.23,Yes,No,No,No,No,No,No,No,No,,1,603,25,
4,Alshark Moroccan Sardines in Spicy Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,Yes,No,No,No,Yes,No,No,No,No,,1,603,25,
5,Angelo Parodi Boneless & Skinless Sardine Fillets in Olive Oil,6.75,Olive Oil,Sardines,Sardina pilchardus,Morocco,Angelo Parodi,Yes,No,,Yes,Yes,Unstated,105,3.7,No,No,No,No,No,No,No,No,No,,1,300,10,
6,"Angelo Parodi Grated Mullet Bottarga (Salted, Dried Roe)",8.5,,Mullet Roe,,Italy,Angelo Parodi,Yes,No,,Yes,Yes,Unstated,20,0.7,No,No,No,No,No,No,No,No,No,,,,10,
7,Angelo Parodi Mackerel Filets in Olive Oil,6.5,Olive Oil,Mackerel,Scomber scombrus / Scomber colias,Italy,Angelo Parodi,Yes,No,,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,1,330,14,
8,Angelo Parodi Mackerel Filets in Olive Oil with Ginger and Chili Pepper,6.5,Olive Oil,Mackerel,Scomber colias,Italy,Angelo Parodi,Yes,No,"Ginger, Chili Pepper",Yes,Yes,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,,1,330,14,
9,Angelo Parodi Portuguese Sardines in Olive Oil,5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,420,18,
10,Angelo Parodi Salmon al Naturale (in water),12.5,Water,Salmon,Salmo salar,Italy,Angelo Parodi,Yes,No,,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,,1,140,6,
11,Angelo Parodi Spicy Portuguese Sardines in Olive Oil,5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,,1,420,18,
12,Angelo Parodi Trancio di Tonno all'Olio d'Oliva (Yellowfin Tuna Loin Slice in Olive Oil),13.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,,,,,150,5.29,No,No,No,No,No,No,No,No,No,,1,420,18,
13,Angelo Parodi Ventresca di Tonno in Olio d'Oliva (Yellowfin Ventresca in Olive Oil),17,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,,,,,115,4.06,No,No,No,No,No,No,No,No,No,,1,420,18,
14,Appel Herring Fillets in Paprika Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,"Papkrika, Tomato",,,,200,7.05,No,No,No,No,No,Yes,Yes,No,No,,3,410,16,
15,Appel Herring Fillets in Tomato Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,Tomato,,,,200,7.05,No,No,No,No,No,Yes,No,No,No,,3,390,17,
16,"Appel Smoked Trout Fillets, Skinless in Canola Oil",9.5,Canola Oil,Trout,,Germany,Appel,Yes,No,,,,,110,3.88,Yes,No,No,No,No,No,No,No,No,,1,490,21,
17,"Ar de Arte Cockles in Brine 30/40, Fernando Rei Edition",46,Salt Brine,Cockles,Cerastoderma edule,Spain,Ar de Arte,Yes,No,,Yes,Yes,30/40,110,3.88,No,No,No,No,No,No,No,No,No,,1,370,15,
